4
2354
11	-1	2	-1	4	1	-1	-1	14	5	10	-1	-1	-1	-1	-1
-1	-1	-1	14	-1	8	2	-1	-1	3	-1	16	-1	-1	10	6
-1	-1	-1	10	11	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	7	12	-1	9	-1	11	1	-1	-1
-1	-1	-1	9	-1	16	14	-1	5	11	-1	7	1	-1	-1	12
6	13	-1	-1	-1	-1	-1	-1	3	4	-1	-1	-1	-1	16	-1
12	16	-1	-1	15	10	3	-1	-1	13	-1	8	7	14	2	-1
-1	-1	-1	-1	7	13	-1	5	-1	16	-1	-1	-1	9	-1	-1
-1	-1	16	-1	-1	12	7	-1	4	-1	-1	-1	6	8	3	-1
-1	3	-1	-1	-1	-1	9	-1	7	-1	-1	13	-1	15	14	-1
-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1	5	-1	-1	-1
8	-1	-1	-1	-1	2	-1	15	-1	14	-1	11	13	16	-1	-1
-1	-1	-1	15	2	-1	-1	10	6	-1	-1	-1	-1	13	-1	4
-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	5	3	-1	-1	-1
14	7	-1	-1	-1	-1	-1	12	-1	2	-1	3	16	-1	-1	-1
-1	-1	3	1	-1	4	6	16	-1	-1	12	-1	-1	-1	-1	15
