4
2851
6	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1
-1	-1	-1	-1	-1	14	-1	9	-1	5	-1	7	8	6	-1	15
-1	-1	4	-1	2	15	-1	-1	-1	-1	-1	-1	9	-1	-1	-1
1	5	-1	9	16	13	-1	10	-1	6	-1	-1	-1	12	-1	2
9	16	-1	-1	-1	-1	7	-1	-1	-1	15	-1	-1	-1	11	-1
3	-1	-1	-1	-1	-1	-1	8	-1	-1	14	-1	-1	15	16	-1
-1	-1	-1	11	4	10	-1	15	16	13	3	-1	-1	-1	-1	-1
-1	13	-1	-1	-1	-1	2	-1	-1	9	11	5	-1	-1	-1	8
-1	-1	13	-1	12	-1	-1	3	-1	-1	-1	-1	-1	-1	14	-1
-1	-1	-1	-1	-1	5	-1	-1	-1	16	-1	12	10	8	-1	-1
-1	-1	-1	2	7	4	16	-1	10	11	1	-1	6	-1	3	13
-1	3	-1	5	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	16
5	-1	-1	3	14	11	-1	-1	-1	12	-1	-1	-1	16	-1	6
-1	9	-1	4	15	-1	-1	1	-1	-1	5	-1	-1	2	-1	-1
-1	-1	2	-1	5	7	-1	-1	-1	-1	-1	14	13	1	8	-1
13	-1	11	-1	9	16	6	2	-1	-1	-1	-1	-1	7	5	-1
