4
2558
5	-1	8	-1	6	-1	10	-1	4	-1	9	14	-1	-1	15	3
-1	15	9	11	2	-1	-1	4	-1	-1	12	16	-1	7	-1	10
-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	13	9
-1	7	-1	6	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	16	-1
16	8	-1	-1	-1	4	-1	-1	-1	-1	-1	5	6	-1	-1	-1
10	6	11	-1	1	-1	-1	-1	2	-1	-1	-1	4	-1	-1	-1
-1	-1	13	-1	-1	-1	8	-1	16	-1	-1	4	-1	3	-1	-1
-1	1	-1	15	5	-1	13	-1	-1	-1	-1	12	-1	-1	-1	2
-1	-1	-1	8	14	10	11	-1	-1	-1	-1	-1	-1	5	-1	1
7	-1	-1	-1	4	3	-1	-1	12	-1	-1	2	-1	-1	14	-1
13	12	-1	-1	-1	-1	15	-1	-1	4	3	-1	-1	6	-1	-1
-1	-1	3	-1	-1	-1	-1	1	-1	11	-1	-1	-1	-1	8	-1
2	13	-1	-1	-1	-1	3	9	-1	10	-1	15	-1	-1	-1	5
9	-1	15	4	-1	12	-1	-1	-1	-1	-1	-1	-1	11	-1	13
-1	-1	-1	-1	-1	-1	-1	13	9	-1	-1	11	7	-1	1	-1
-1	3	-1	-1	-1	16	-1	5	-1	-1	13	-1	10	14	-1	-1
