4
2228
-1	-1	14	4	9	-1	-1	-1	2	-1	13	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	16	7	-1	-1	-1
-1	-1	6	-1	4	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	10
9	-1	-1	-1	5	2	7	-1	1	-1	-1	-1	3	14	16	-1
-1	-1	11	-1	15	-1	5	-1	-1	-1	9	-1	16	-1	4	2
-1	6	-1	8	-1	14	-1	11	-1	1	4	-1	-1	15	-1	-1
-1	7	4	-1	-1	8	-1	-1	-1	-1	14	-1	-1	-1	-1	-1
-1	-1	2	-1	10	-1	9	-1	-1	-1	3	-1	-1	-1	-1	7
8	16	-1	-1	-1	-1	-1	9	3	-1	-1	7	6	-1	-1	-1
-1	14	-1	7	12	-1	1	-1	16	-1	-1	-1	11	-1	-1	-1
6	-1	-1	-1	-1	3	-1	-1	12	-1	11	-1	-1	-1	9	-1
5	-1	12	-1	-1	-1	-1	-1	-1	13	6	-1	14	-1	7	15
4	-1	9	-1	-1	-1	14	5	-1	10	-1	11	-1	1	-1	-1
12	-1	-1	-1	-1	7	-1	4	6	-1	15	-1	2	-1	8	-1
-1	-1	10	3	-1	12	-1	16	9	-1	-1	-1	-1	-1	-1	-1
16	15	-1	2	-1	-1	-1	1	-1	8	-1	-1	-1	-1	-1	14
