4
2491
4	-1	-1	9	3	16	-1	15	-1	-1	-1	-1	-1	8	-1	-1
3	-1	-1	-1	2	-1	-1	6	1	-1	-1	-1	-1	10	-1	-1
-1	-1	15	-1	-1	-1	-1	-1	-1	-1	2	7	-1	-1	-1	-1
10	-1	1	-1	-1	-1	12	-1	14	13	-1	-1	9	-1	-1	3
5	-1	11	-1	6	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	8
-1	-1	2	-1	9	10	7	-1	-1	-1	-1	8	13	-1	-1	11
9	-1	10	3	12	11	-1	-1	-1	6	-1	1	-1	-1	-1	-1
-1	13	-1	-1	16	15	-1	-1	-1	-1	-1	9	14	-1	3	10
2	-1	-1	5	7	12	-1	16	-1	8	-1	-1	-1	9	-1	-1
-1	4	-1	-1	-1	3	9	2	-1	16	7	-1	-1	-1	6	12
6	-1	-1	-1	-1	-1	1	-1	5	-1	-1	4	-1	-1	-1	16
-1	3	-1	-1	8	13	-1	-1	15	-1	-1	-1	-1	5	1	-1
16	-1	9	10	14	-1	-1	-1	-1	15	-1	-1	12	-1	5	-1
-1	-1	8	-1	-1	-1	-1	-1	10	-1	16	14	4	11	2	1
-1	-1	-1	-1	-1	2	5	-1	-1	-1	9	-1	7	-1	-1	-1
-1	7	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	3	-1	-1
